Looks Rating,Additional Income Needed by Women 1,Additional Income Needed by Women 2,Additional Income Needed by Women 3,Additional Income Needed by Women 4,Additional Income Needed by Women 5,Additional Income Needed by Women 6,Additional Income Needed by Women 7,Additional Income Needed by Women 8,Additional Income Needed by Women 9,Additional Income Needed by Women 10
Men 1,-143,-151,-159,-169,-186,-215,-260,-311,-386,-500
Men 2,-128,-143,-151,-159,-169,-186,-215,-260,-311,-386
Men 3,-86,-128,-143,-151,-159,-169,-186,-215,-260,-311
Men 4,-37,-86,-128,-143,-151,-159,-169,-186,-215,-260
Men 5,-25,-37,-86,-128,-143,-151,-159,-169,-186,-215
Men 6,-11,-25,-37,-86,-128,-143,-151,-159,-169,-186
Men 7,11,-11,-25,-37,-86,-128,-143,-151,-159,-169
Men 8,36,11,-11,-25,-37,-86,-128,-143,-151,-159
Men 9,73,36,11,0,0,0,0,0,0,0
Men 10,130,73,36,11,0,0,0,0,0,0
